date,hour,temperature
2012-10-01,12,283.3505727940836
2012-10-01,13,284.01
2012-10-01,14,284.054690974
2012-10-01,15,284.177412183
2012-10-01,16,284.300133393
2012-10-01,17,284.422854602
2012-10-01,18,284.545575811
2012-10-01,19,284.668297021
2012-10-01,20,284.79101823
2012-10-01,21,284.91373944
2012-10-01,22,285.036460649
2012-10-01,23,285.159181859
2012-10-02,0,285.281903068
2012-10-02,1,285.404624277
2012-10-02,2,285.527345487
2012-10-02,3,285.650066696
2012-10-02,4,285.772787906
2012-10-02,5,285.895509115
2012-10-02,6,286.018230325
2012-10-02,7,286.140951534
2012-10-02,8,286.263672743
2012-10-02,9,286.386393953
2012-10-02,10,286.509115162
2012-10-02,11,286.631836372
2012-10-02,12,286.754557581
2012-10-02,13,286.877278791
2012-10-02,14,287.0
2012-10-02,15,289.3
2012-10-02,16,289.85
2012-10-02,17,290.92
2012-10-02,18,291.25
2012-10-02,19,291.18
2012-10-02,20,290.85
2012-10-02,21,290.55
2012-10-02,22,289.99
2012-10-02,23,289.12
2012-10-03,0,288.08
2012-10-03,1,287.94
2012-10-03,2,287.31
2012-10-03,3,287.09
2012-10-03,4,286.7
2012-10-03,5,286.87
2012-10-03,6,286.87
2012-10-03,7,286.56
2012-10-03,8,286.56
2012-10-03,9,286.64
2012-10-03,10,286.56
2012-10-03,11,286.38
2012-10-03,12,287.31
2012-10-03,13,288.24
2012-10-03,14,290.58
2012-10-03,15,291.313333333
2012-10-03,16,292.046666667
2012-10-03,17,292.78
2012-10-03,18,293.02
2012-10-03,19,292.96
2012-10-03,20,292.76
2012-10-03,21,292.49
2012-10-03,22,291.5
2012-10-03,23,290.51
2012-10-04,0,289.87
2012-10-04,1,289.8
2012-10-04,2,289.94
2012-10-04,3,289.93
2012-10-04,4,289.91
2012-10-04,5,290.0
2012-10-04,6,289.86
2012-10-04,7,289.86
2012-10-04,8,290.29
2012-10-04,9,290.13
2012-10-04,10,289.8
2012-10-04,11,289.53
2012-10-04,12,289.34
2012-10-04,13,289.14
2012-10-04,14,289.07
2012-10-04,15,289.4
2012-10-04,16,289.54
2012-10-04,17,289.88
2012-10-04,18,290.55
2012-10-04,19,290.93
2012-10-04,20,291.42
2012-10-04,21,291.29
2012-10-04,22,290.89
2012-10-04,23,290.41
2012-10-05,0,289.99
2012-10-05,1,289.57
2012-10-05,2,289.52
2012-10-05,3,289.52
2012-10-05,4,289.45
2012-10-05,5,289.24
2012-10-05,6,288.96
2012-10-05,7,288.48
2012-10-05,8,288.0
2012-10-05,9,287.87
2012-10-05,10,287.74
2012-10-05,11,287.54
2012-10-05,12,287.33
2012-10-05,13,288.25
2012-10-05,14,290.74
2012-10-05,15,292.6
2012-10-05,16,294.79
2012-10-05,17,296.37
2012-10-05,18,298.62
2012-10-05,19,298.04
2012-10-05,20,297.62
2012-10-05,21,295.71
2012-10-05,22,292.47
2012-10-05,23,290.56
2012-10-06,0,286.49
2012-10-06,1,285.37
2012-10-06,2,285.45
2012-10-06,3,285.64
2012-10-06,4,285.18
2012-10-06,5,284.03
2012-10-06,6,282.8
2012-10-06,7,282.52
2012-10-06,8,281.88
2012-10-06,9,281.24
2012-10-06,10,280.74
2012-10-06,11,280.1
2012-10-06,12,279.52
2012-10-06,13,279.86
2012-10-06,14,280.61
2012-10-06,15,281.05
2012-10-06,16,281.82
2012-10-06,17,282.05
2012-10-06,18,282.06
2012-10-06,19,282.27
2012-10-06,20,282.18
2012-10-06,21,282.29
2012-10-06,22,282.61
2012-10-06,23,282.43
2012-10-07,0,282.05
2012-10-07,1,281.32
2012-10-07,2,280.97
2012-10-07,3,280.25
2012-10-07,4,279.0
2012-10-07,5,278.09
2012-10-07,6,277.456666667
2012-10-07,7,276.823333333
2012-10-07,8,276.19
2012-10-07,9,275.88
2012-10-07,10,275.46
2012-10-07,11,274.99
2012-10-07,12,274.92
2012-10-07,13,276.13
2012-10-07,14,278.59
2012-10-07,15,280.4
2012-10-07,16,281.32
2012-10-07,17,281.97
2012-10-07,18,282.49
2012-10-07,19,282.24
2012-10-07,20,281.96
2012-10-07,21,281.57
2012-10-07,22,281.44
2012-10-07,23,281.1
2012-10-08,0,280.71
2012-10-08,1,280.52
2012-10-08,2,280.31
2012-10-08,3,280.18
2012-10-08,4,279.89
2012-10-08,5,279.37
2012-10-08,6,279.3
2012-10-08,7,279.14
2012-10-08,8,278.83
2012-10-08,9,278.17
2012-10-08,10,278.14
2012-10-08,11,277.43
2012-10-08,12,277.28
2012-10-08,13,277.95
2012-10-08,14,279.28
2012-10-08,15,280.66
2012-10-08,16,281.91
2012-10-08,17,281.89
2012-10-08,18,282.49
2012-10-08,19,282.66
2012-10-08,20,282.73
2012-10-08,21,282.63
2012-10-08,22,282.7
2012-10-08,23,281.54
2012-10-09,0,279.11
2012-10-09,1,278.07
2012-10-09,2,277.63
2012-10-09,3,276.38
2012-10-09,4,276.31
2012-10-09,5,276.06
2012-10-09,6,275.46
2012-10-09,7,274.95
2012-10-09,8,274.735
2012-10-09,9,274.52
2012-10-09,10,274.65
2012-10-09,11,274.82
2012-10-09,12,274.98
2012-10-09,13,277.14
2012-10-09,14,280.43
2012-10-09,15,282.8
2012-10-09,16,284.45
2012-10-09,17,285.13
2012-10-09,18,286.54
2012-10-09,19,287.29
2012-10-09,20,287.5
2012-10-09,21,287.72
2012-10-09,22,287.61
2012-10-09,23,286.55
2012-10-10,0,285.45
2012-10-10,1,284.8
2012-10-10,2,284.27
2012-10-10,3,284.21
2012-10-10,4,284.06
2012-10-10,5,283.58
2012-10-10,6,282.54
2012-10-10,7,282.16
2012-10-10,8,281.87
2012-10-10,9,281.553333333
2012-10-10,10,281.236666667
2012-10-10,11,280.92
2012-10-10,12,281.03
2012-10-10,13,281.75
2012-10-10,14,283.35
2012-10-10,15,284.88
2012-10-10,16,287.2
2012-10-10,17,289.88
2012-10-10,18,290.92
2012-10-10,19,291.72
2012-10-10,20,291.76
2012-10-10,21,291.23
2012-10-10,22,290.315
2012-10-10,23,289.4
2012-10-11,0,289.4
2012-10-11,1,289.4
2012-10-11,2,289.4
2012-10-11,3,289.4
2012-10-11,4,289.4
2012-10-11,5,284.805
2012-10-11,6,280.21
2012-10-11,7,278.46
2012-10-11,8,278.32
2012-10-11,9,277.73
2012-10-11,10,277.25
2012-10-11,11,276.56
2012-10-11,12,276.11
2012-10-11,13,276.67
2012-10-11,14,278.12
2012-10-11,15,278.76
2012-10-11,16,279.77
2012-10-11,17,280.78
2012-10-11,18,281.79
2012-10-11,19,282.8
2012-10-11,20,282.8
2012-10-11,21,283.93
2012-10-11,22,283.39
2012-10-11,23,282.15
2012-10-12,0,280.4
2012-10-12,1,278.68
2012-10-12,2,277.67
2012-10-12,3,277.45
2012-10-12,4,276.91
2012-10-12,5,276.5
2012-10-12,6,275.99
2012-10-12,7,276.18
2012-10-12,8,276.11
2012-10-12,9,276.73
2012-10-12,10,277.85
2012-10-12,11,278.49
2012-10-12,12,279.34
2012-10-12,13,280.61
2012-10-12,14,282.59
2012-10-12,15,285.05
2012-10-12,16,287.18
2012-10-12,17,288.56
2012-10-12,18,290.06
2012-10-12,19,291.18
2012-10-12,20,291.91
2012-10-12,21,291.51
2012-10-12,22,290.83
2012-10-12,23,290.1
2012-10-13,0,289.94
2012-10-13,1,289.78
2012-10-13,2,289.62
2012-10-13,3,289.46
2012-10-13,4,289.3
